Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-000160,ORD-000205,Jorge Sanchez Flores,Lambayeque,Cuadrilla La Victoria / JLO - C-02,"DEC-909652, DEC-718241, DEC-868844",REP-998801,2023-01-15,Entregado a Tecnico
DESP-000161,ORD-000207,Patricia Torres Rodriguez,Pimentel,Cuadrilla Pimentel / Costa - C-03,"DEC-706739, DEC-670792, DEC-697856","REP-282294, REP-494956",2023-01-16,Entregado a Tecnico
DESP-000162,ORD-000208,Rosa Rojas Rodriguez,Pueblo Nuevo,Cuadrilla La Victoria / JLO - C-02,DEC-180832,REP-639535,2023-01-15,Entregado a Tecnico
DESP-000163,ORD-000209,Diego Sanchez Garcia,La Victoria,Cuadrilla Chiclayo Centro - C-01,DEC-234097,REP-701344,2023-01-15,Entregado a Tecnico
DESP-000164,ORD-000211,Fernando Mendoza Mendoza,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-213844,"REP-117367, REP-312177",2023-01-16,Entregado a Tecnico
DESP-000165,ORD-000213,Fiorella Castro Rojas,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-843596,REP-879769,2023-01-16,Entregado a Tecnico
DESP-000166,ORD-000214,Carlos Lopez Gomez,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-891645,,2023-01-16,Entregado a Tecnico
DESP-000167,ORD-000215,Pedro Castro Mendoza,Monsefú,Cuadrilla La Victoria / JLO - C-02,"DEC-205149, DEC-324875","REP-633036, REP-520018",2023-01-16,Entregado a Tecnico
DESP-000168,ORD-000217,Fernando Diaz Perez,Pimentel,Cuadrilla Chiclayo Centro - C-01,,REP-389340,2023-01-16,Entregado a Tecnico
DESP-000169,ORD-000218,Rosa Rojas Vasquez,La Victoria,Cuadrilla Lambayeque Norte - C-04,DEC-702833,,2023-01-16,Entregado a Tecnico
DESP-000170,ORD-000220,Elena Vargas Romero,Motupe,Cuadrilla Pimentel / Costa - C-03,DEC-179721,,2023-01-16,Entregado a Tecnico
DESP-000171,ORD-000221,Christian Martinez Mendoza,Pacora,Cuadrilla Chiclayo Centro - C-01,DEC-808640,,2023-01-16,Entregado a Tecnico
DESP-000172,ORD-000222,Patricia Gomez Perez,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-819678, DEC-913594",,2023-01-16,Entregado a Tecnico
DESP-000173,ORD-000223,Lucia Romero Lopez,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-459762,,2023-01-16,Entregado a Tecnico
DESP-000174,ORD-000224,Carmen Martinez Mendoza,Jayanca,Cuadrilla La Victoria / JLO - C-02,DEC-938900,,2023-01-17,Entregado a Tecnico
DESP-000175,ORD-000225,Jorge Mendoza Gomez,Pátapo,Cuadrilla Chiclayo Centro - C-01,DEC-571706,REP-880762,2023-01-16,Entregado a Tecnico
DESP-000176,ORD-000227,Sofia Romero Garcia,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-384424,,2023-01-17,Entregado a Tecnico
DESP-000177,ORD-000228,Javier Rojas Romero,Túcume,Cuadrilla Chiclayo Centro - C-01,,,2023-01-17,Entregado a Tecnico
DESP-000178,ORD-000230,Diego Romero Garcia,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-111068,REP-100096,2023-01-17,Entregado a Tecnico
DESP-000179,ORD-000231,Fiorella Garcia Rojas,Eten,Cuadrilla Ferreñafe - C-05,"DEC-558339, DEC-513927",REP-362035,2023-01-17,Entregado a Tecnico
DESP-000180,ORD-000232,Lucia Vasquez Vasquez,Pimentel,Cuadrilla Lambayeque Norte - C-04,"DEC-747736, DEC-574760",REP-385353,2023-01-17,Entregado a Tecnico
DESP-000181,ORD-000233,Fernando Mendoza Sanchez,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,,REP-458521,2023-01-17,Entregado a Tecnico
DESP-000182,ORD-000234,Jose Diaz Mendoza,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-503489,,2023-01-17,Entregado a Tecnico
DESP-000183,ORD-000235,Javier Torres Perez,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-308376,,2023-01-17,Entregado a Tecnico
DESP-000184,ORD-000236,Carmen Perez Sanchez,Chiclayo,Cuadrilla La Victoria / JLO - C-02,DEC-624203,,2023-01-18,Entregado a Tecnico
DESP-000185,ORD-000237,Luis Vargas Perez,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,"DEC-362874, DEC-141406",REP-608876,2023-01-17,Entregado a Tecnico
DESP-000186,ORD-000238,Javier Diaz Mendoza,Reque,Cuadrilla Ferreñafe - C-05,DEC-497455,,2023-01-17,Entregado a Tecnico
DESP-000187,ORD-000239,Lucia Gomez Rojas,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,DEC-145903,,2023-01-18,Entregado a Tecnico
DESP-000188,ORD-000240,Jorge Martinez Perez,Chiclayo,Cuadrilla Chiclayo Centro - C-01,DEC-113721,REP-318877,2023-01-18,Entregado a Tecnico
DESP-000189,ORD-000241,Patricia Rodriguez Romero,Olmos,Cuadrilla La Victoria / JLO - C-02,DEC-657487,REP-504048,2023-01-18,Entregado a Tecnico
DESP-000190,ORD-000242,Pedro Sanchez Torres,La Victoria,Cuadrilla La Victoria / JLO - C-02,DEC-659835,"REP-729057, REP-564531",2023-01-18,Entregado a Tecnico
DESP-000191,ORD-000243,Carmen Vargas Vargas,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-398301,REP-724702,2023-01-18,Entregado a Tecnico
DESP-000192,ORD-000244,Carlos Garcia Diaz,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-377860,"REP-484914, REP-710434",2023-01-18,Entregado a Tecnico
DESP-000193,ORD-000245,Elena Torres Flores,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-139186,"REP-866288, REP-947607",2023-01-18,Entregado a Tecnico
DESP-000194,ORD-000246,Katia Vasquez Rodriguez,Santa Rosa,Cuadrilla Ferreñafe - C-05,"DEC-143182, DEC-434827",REP-666157,2023-01-18,Entregado a Tecnico
DESP-000195,ORD-000247,Katia Garcia Vargas,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-186554,,2023-01-18,Entregado a Tecnico
DESP-000196,ORD-000248,Patricia Perez Vasquez,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,DEC-439121,,2023-01-18,Entregado a Tecnico
DESP-000197,ORD-000249,Katia Rodriguez Lopez,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-309385,,2023-01-18,Entregado a Tecnico
DESP-000198,ORD-000250,Carmen Garcia Rodriguez,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-322167,REP-313701,2023-01-18,Entregado a Tecnico
DESP-000199,ORD-000251,Christian Flores Mendoza,Pomalca,Cuadrilla Pimentel / Costa - C-03,DEC-213132,REP-120005,2023-01-19,Entregado a Tecnico
DESP-000200,ORD-000253,Manuel Mendoza Vasquez,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-788842,"REP-243928, REP-192059",2023-01-18,Entregado a Tecnico
DESP-000201,ORD-000254,Rosa Torres Castro,Monsefú,Cuadrilla La Victoria / JLO - C-02,,REP-788108,2023-01-18,Entregado a Tecnico
DESP-000202,ORD-000256,Pedro Lopez Garcia,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-244192,,2023-01-19,Entregado a Tecnico
DESP-000203,ORD-000258,Rosa Perez Vasquez,Ferreñafe,Cuadrilla Ferreñafe - C-05,"DEC-902328, DEC-761282",,2023-01-19,Entregado a Tecnico
DESP-000204,ORD-000259,Ana Sanchez Diaz,Pacora,Cuadrilla Ferreñafe - C-05,DEC-241879,"REP-512160, REP-533648",2023-01-20,Entregado a Tecnico
DESP-000205,ORD-000260,Manuel Romero Gomez,Íllimo,Cuadrilla Lambayeque Norte - C-04,"DEC-862182, DEC-929493, DEC-636521",REP-741804,2023-01-20,Entregado a Tecnico
DESP-000206,ORD-000261,Lucia Vasquez Vasquez,Pueblo Nuevo,Cuadrilla La Victoria / JLO - C-02,DEC-312705,,2023-01-19,Entregado a Tecnico
DESP-000207,ORD-000262,Carlos Flores Gomez,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-391622,REP-749871,2023-01-19,Entregado a Tecnico
DESP-000208,ORD-000263,Christian Sanchez Perez,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-925551,,2023-01-20,Entregado a Tecnico
DESP-000209,ORD-000264,Christian Martinez Romero,Jayanca,Cuadrilla Pimentel / Costa - C-03,"DEC-445200, DEC-652654",REP-533856,2023-01-19,Entregado a Tecnico
DESP-000210,ORD-000265,Fiorella Sanchez Sanchez,Mochumí,Cuadrilla Lambayeque Norte - C-04,DEC-644951,REP-864605,2023-01-19,Entregado a Tecnico
DESP-000211,ORD-000266,Patricia Mendoza Martinez,Ferreñafe,Cuadrilla Ferreñafe - C-05,"DEC-945197, DEC-768470",,2023-01-19,Entregado a Tecnico
DESP-000212,ORD-000267,Pedro Gomez Sanchez,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,DEC-805139,REP-602381,2023-01-19,Entregado a Tecnico
DESP-000213,ORD-000268,Patricia Perez Garcia,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,"DEC-938373, DEC-934438",,2023-01-19,Entregado a Tecnico
DESP-000214,ORD-000269,Carmen Rodriguez Garcia,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,DEC-621199,,2023-01-19,Entregado a Tecnico
DESP-000215,ORD-000270,Elena Rojas Romero,La Victoria,Cuadrilla Lambayeque Norte - C-04,"DEC-868020, DEC-649063, DEC-425434",REP-913205,2023-01-19,Entregado a Tecnico
DESP-000216,ORD-000272,Sofia Gomez Diaz,Monsefú,Cuadrilla Pimentel / Costa - C-03,DEC-676051,,2023-01-20,Entregado a Tecnico
DESP-000217,ORD-000273,Manuel Flores Garcia,Monsefú,Cuadrilla Lambayeque Norte - C-04,,"REP-287677, REP-838908",2023-01-20,Entregado a Tecnico
DESP-000218,ORD-000274,Fernando Romero Rojas,Mochumí,Cuadrilla Lambayeque Norte - C-04,,REP-593403,2023-01-20,Entregado a Tecnico
DESP-000219,ORD-000275,Elena Torres Garcia,Pátapo,Cuadrilla Pimentel / Costa - C-03,,REP-733801,2023-01-20,Entregado a Tecnico
DESP-000220,ORD-000277,Luis Vargas Sanchez,Reque,Cuadrilla Chiclayo Centro - C-01,"DEC-961953, DEC-566843",REP-284731,2023-01-20,Entregado a Tecnico
DESP-000221,ORD-000278,Sofia Vasquez Rodriguez,Olmos,Cuadrilla Ferreñafe - C-05,"DEC-568881, DEC-305171","REP-315651, REP-814622",2023-01-21,Entregado a Tecnico
DESP-000222,ORD-000279,Manuel Diaz Diaz,Ferreñafe,Cuadrilla Pimentel / Costa - C-03,DEC-132699,,2023-01-20,Entregado a Tecnico
DESP-000223,ORD-000281,Jorge Gomez Rodriguez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,"DEC-959907, DEC-571907",REP-503402,2023-01-20,Entregado a Tecnico
DESP-000224,ORD-000282,Carmen Torres Martinez,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-887042,REP-916704,2023-01-20,Entregado a Tecnico
DESP-000225,ORD-000283,Diego Romero Rodriguez,Pátapo,Cuadrilla Pimentel / Costa - C-03,"DEC-541467, DEC-470057, DEC-936997",REP-408929,2023-01-20,Entregado a Tecnico
DESP-000226,ORD-000284,Sofia Martinez Perez,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-630155,,2023-01-20,Entregado a Tecnico
DESP-000227,ORD-000285,Luis Flores Flores,Monsefú,Cuadrilla La Victoria / JLO - C-02,"DEC-608473, DEC-289592, DEC-938202",REP-653007,2023-01-20,Entregado a Tecnico
DESP-000228,ORD-000286,Ana Vargas Rodriguez,Olmos,Cuadrilla Lambayeque Norte - C-04,DEC-416006,REP-599401,2023-01-21,Entregado a Tecnico
DESP-000229,ORD-000288,Diego Vargas Flores,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-818798,REP-567604,2023-01-21,Entregado a Tecnico
DESP-000230,ORD-000290,Diego Diaz Romero,Manuel Antonio Mesones Muro,Cuadrilla Pimentel / Costa - C-03,DEC-162976,,2023-01-21,Entregado a Tecnico
DESP-000231,ORD-000291,Diego Flores Martinez,Pueblo Nuevo,Cuadrilla Pimentel / Costa - C-03,DEC-914992,REP-567541,2023-01-22,Entregado a Tecnico
DESP-000232,ORD-000292,Carlos Mendoza Garcia,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,"DEC-503097, DEC-822742",REP-957710,2023-01-21,Entregado a Tecnico
DESP-000233,ORD-000293,Patricia Lopez Rojas,Pátapo,Cuadrilla Chiclayo Centro - C-01,"DEC-502824, DEC-792829, DEC-300281",,2023-01-21,Entregado a Tecnico
DESP-000234,ORD-000294,Sofia Vasquez Lopez,Motupe,Cuadrilla Lambayeque Norte - C-04,"DEC-117215, DEC-138842, DEC-455766",,2023-01-21,Entregado a Tecnico
DESP-000235,ORD-000295,Ana Vargas Perez,Motupe,Cuadrilla Ferreñafe - C-05,DEC-148026,"REP-354471, REP-835363",2023-01-21,Entregado a Tecnico
DESP-000236,ORD-000296,Jorge Gomez Martinez,Mochumí,Cuadrilla La Victoria / JLO - C-02,"DEC-546915, DEC-453729",,2023-01-21,Entregado a Tecnico
DESP-000237,ORD-000297,Rosa Vargas Lopez,Túcume,Cuadrilla Ferreñafe - C-05,"DEC-142675, DEC-239849",,2023-01-21,Entregado a Tecnico
DESP-000238,ORD-000298,Maria Vasquez Martinez,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-572298,REP-532046,2023-01-21,Entregado a Tecnico
DESP-000239,ORD-000300,Javier Sanchez Flores,Motupe,Cuadrilla Lambayeque Norte - C-04,,,2023-01-21,Entregado a Tecnico
DESP-000240,ORD-000301,Ana Lopez Perez,La Victoria,Cuadrilla Chiclayo Centro - C-01,DEC-441974,,2023-01-21,Entregado a Tecnico
DESP-000241,ORD-000302,Elena Lopez Torres,Pimentel,Cuadrilla La Victoria / JLO - C-02,,"REP-762722, REP-476009",2023-01-21,Entregado a Tecnico
DESP-000242,ORD-000303,Diego Sanchez Vargas,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-996536,,2023-01-21,Entregado a Tecnico
DESP-000243,ORD-000304,Elena Rodriguez Castro,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-142004,REP-593515,2023-01-21,Entregado a Tecnico
DESP-000244,ORD-000305,Fiorella Perez Castro,Pimentel,Cuadrilla Pimentel / Costa - C-03,"DEC-269662, DEC-837468, DEC-581592",,2023-01-22,Entregado a Tecnico
DESP-000245,ORD-000306,Katia Gomez Romero,Olmos,Cuadrilla Pimentel / Costa - C-03,"DEC-546590, DEC-889460",,2023-01-22,Entregado a Tecnico
DESP-000246,ORD-000307,Diego Sanchez Rodriguez,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-245129,REP-451199,2023-01-22,Entregado a Tecnico
DESP-000247,ORD-000308,Elena Lopez Mendoza,Monsefú,Cuadrilla Ferreñafe - C-05,,,2023-01-22,Entregado a Tecnico
DESP-000248,ORD-000309,Christian Diaz Romero,Eten,Cuadrilla La Victoria / JLO - C-02,"DEC-645980, DEC-757746, DEC-123792",,2023-01-22,Entregado a Tecnico
DESP-000249,ORD-000310,Sofia Castro Garcia,Pátapo,Cuadrilla Pimentel / Costa - C-03,"DEC-609763, DEC-722180",,2023-01-22,Entregado a Tecnico
DESP-000250,ORD-000311,Fiorella Romero Romero,Pacora,Cuadrilla La Victoria / JLO - C-02,DEC-748680,,2023-01-22,Entregado a Tecnico
DESP-000251,ORD-000312,Lucia Diaz Martinez,Túcume,Cuadrilla La Victoria / JLO - C-02,DEC-659565,,2023-01-23,Entregado a Tecnico
DESP-000252,ORD-000313,Sofia Lopez Gomez,Manuel Antonio Mesones Muro,Cuadrilla Chiclayo Centro - C-01,DEC-867180,,2023-01-22,Entregado a Tecnico
DESP-000253,ORD-000314,Patricia Perez Garcia,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-664566,,2023-01-22,Entregado a Tecnico
DESP-000254,ORD-000315,Javier Rodriguez Vasquez,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,"DEC-567220, DEC-688285",REP-191853,2023-01-22,Entregado a Tecnico
DESP-000255,ORD-000316,Pedro Romero Castro,Olmos,Cuadrilla Lambayeque Norte - C-04,DEC-769836,"REP-386606, REP-534649",2023-01-22,Entregado a Tecnico
DESP-000256,ORD-000317,Lucia Romero Garcia,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-771670,REP-974767,2023-01-22,Entregado a Tecnico
DESP-000257,ORD-000318,Patricia Lopez Diaz,Pueblo Nuevo,Cuadrilla Lambayeque Norte - C-04,DEC-827968,,2023-01-22,Entregado a Tecnico
DESP-000258,ORD-000319,Maria Rojas Gomez,Reque,Cuadrilla Chiclayo Centro - C-01,,,2023-01-22,Entregado a Tecnico
DESP-000259,ORD-000320,Fiorella Sanchez Martinez,Reque,Cuadrilla Ferreñafe - C-05,DEC-395087,,2023-01-22,Entregado a Tecnico
DESP-000260,ORD-000321,Carmen Mendoza Castro,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,DEC-222227,REP-958620,2023-01-22,Entregado a Tecnico
DESP-000261,ORD-000322,Jorge Gomez Mendoza,Eten,Cuadrilla Lambayeque Norte - C-04,"DEC-824375, DEC-900088",,2023-01-22,Entregado a Tecnico
DESP-000262,ORD-000323,Maria Rodriguez Gomez,La Victoria,Cuadrilla Pimentel / Costa - C-03,"DEC-130680, DEC-195189, DEC-252627",,2023-01-23,Entregado a Tecnico
DESP-000263,ORD-000325,Pedro Mendoza Rojas,Reque,Cuadrilla Pimentel / Costa - C-03,"DEC-838963, DEC-402274",,2023-01-23,Entregado a Tecnico
DESP-000264,ORD-000329,Jorge Romero Lopez,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-753506,"REP-201013, REP-897097",2023-01-23,Entregado a Tecnico
DESP-000265,ORD-000330,Luis Mendoza Romero,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,DEC-994303,"REP-494617, REP-564053",2023-01-23,Entregado a Tecnico
DESP-000266,ORD-000331,Javier Perez Perez,Pacora,Cuadrilla Ferreñafe - C-05,"DEC-995852, DEC-263903",REP-631297,2023-01-24,Entregado a Tecnico
DESP-000267,ORD-000332,Ana Vasquez Flores,Reque,Cuadrilla Lambayeque Norte - C-04,,REP-461908,2023-01-23,Entregado a Tecnico
DESP-000268,ORD-000333,Carmen Castro Rojas,Pátapo,Cuadrilla Lambayeque Norte - C-04,"DEC-695642, DEC-639764",,2023-01-23,Entregado a Tecnico
DESP-000269,ORD-000334,Jose Flores Gomez,Pitipo,Cuadrilla Pimentel / Costa - C-03,"DEC-274721, DEC-744693",,2023-01-23,Entregado a Tecnico
DESP-000270,ORD-000335,Sofia Rojas Castro,Mochumí,Cuadrilla Chiclayo Centro - C-01,DEC-693943,REP-940104,2023-01-24,Entregado a Tecnico
DESP-000271,ORD-000336,Fiorella Mendoza Castro,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-295600,REP-704864,2023-01-24,Entregado a Tecnico
DESP-000272,ORD-000337,Patricia Sanchez Romero,Olmos,Cuadrilla La Victoria / JLO - C-02,DEC-987060,,2023-01-24,Entregado a Tecnico
DESP-000273,ORD-000338,Jose Flores Diaz,Pimentel,Cuadrilla Chiclayo Centro - C-01,"DEC-311802, DEC-267099",,2023-01-23,Entregado a Tecnico
DESP-000274,ORD-000340,Carmen Rodriguez Vasquez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,"DEC-944986, DEC-884727, DEC-880097",,2023-01-24,Entregado a Tecnico
DESP-000275,ORD-000341,Elena Castro Sanchez,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-391224,,2023-01-23,Entregado a Tecnico
DESP-000276,ORD-000342,Jorge Rojas Mendoza,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-999308,,2023-01-23,Entregado a Tecnico
DESP-000277,ORD-000343,Rosa Gomez Vasquez,Pueblo Nuevo,Cuadrilla Lambayeque Norte - C-04,"DEC-960085, DEC-205272",REP-964446,2023-01-25,Entregado a Tecnico
DESP-000278,ORD-000344,Lucia Flores Rodriguez,Jayanca,Cuadrilla Pimentel / Costa - C-03,DEC-428961,,2023-01-24,Entregado a Tecnico
DESP-000279,ORD-000345,Katia Rodriguez Lopez,Túcume,Cuadrilla Lambayeque Norte - C-04,DEC-495648,REP-975224,2023-01-25,Entregado a Tecnico
DESP-000280,ORD-000346,Katia Torres Gomez,Pimentel,Cuadrilla Pimentel / Costa - C-03,"DEC-278386, DEC-694797",,2023-01-24,Entregado a Tecnico
DESP-000281,ORD-000347,Maria Gomez Castro,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-404289,REP-374516,2023-01-25,Entregado a Tecnico
DESP-000282,ORD-000348,Elena Romero Torres,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-161606,REP-154644,2023-01-24,Entregado a Tecnico
DESP-000283,ORD-000349,Manuel Torres Mendoza,Lambayeque,Cuadrilla Ferreñafe - C-05,DEC-616780,,2023-01-24,Entregado a Tecnico
DESP-000284,ORD-000350,Manuel Romero Garcia,Monsefú,Cuadrilla Pimentel / Costa - C-03,"DEC-742705, DEC-969887",REP-898557,2023-01-24,Entregado a Tecnico
DESP-000285,ORD-000351,Diego Vargas Castro,Túcume,Cuadrilla Lambayeque Norte - C-04,,,2023-01-25,Entregado a Tecnico
DESP-000286,ORD-000352,Carmen Mendoza Romero,La Victoria,Cuadrilla Chiclayo Centro - C-01,"DEC-651567, DEC-904098",REP-698514,2023-01-24,Entregado a Tecnico
DESP-000287,ORD-000353,Lucia Castro Rodriguez,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-576111,"REP-758879, REP-382400",2023-01-24,Entregado a Tecnico
DESP-000288,ORD-000355,Rosa Flores Martinez,Pimentel,Cuadrilla Chiclayo Centro - C-01,,REP-972470,2023-01-24,Entregado a Tecnico
DESP-000289,ORD-000358,Jose Castro Lopez,Jayanca,Cuadrilla Pimentel / Costa - C-03,,REP-715732,2023-01-26,Entregado a Tecnico
DESP-000290,ORD-000359,Javier Romero Flores,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-861173,,2023-01-26,Entregado a Tecnico
DESP-000291,ORD-000360,Patricia Diaz Rojas,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,DEC-982995,,2023-01-25,Entregado a Tecnico
DESP-000292,ORD-000361,Christian Sanchez Rodriguez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,"DEC-153395, DEC-450067, DEC-108256",REP-207650,2023-01-25,Entregado a Tecnico
DESP-000293,ORD-000363,Patricia Lopez Mendoza,Monsefú,Cuadrilla Pimentel / Costa - C-03,DEC-858115,"REP-845941, REP-509333",2023-01-25,Entregado a Tecnico
DESP-000294,ORD-000364,Jose Rojas Mendoza,La Victoria,Cuadrilla Chiclayo Centro - C-01,DEC-476215,REP-373477,2023-01-25,Entregado a Tecnico
DESP-000295,ORD-000366,Ana Romero Romero,La Victoria,Cuadrilla Pimentel / Costa - C-03,,,2023-01-25,Entregado a Tecnico
DESP-000296,ORD-000367,Manuel Garcia Lopez,Lambayeque,Cuadrilla Ferreñafe - C-05,DEC-542207,,2023-01-25,Entregado a Tecnico
DESP-000297,ORD-000368,Elena Garcia Castro,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,DEC-896070,,2023-01-25,Entregado a Tecnico
DESP-000298,ORD-000369,Ana Garcia Perez,Pátapo,Cuadrilla Ferreñafe - C-05,"DEC-783710, DEC-563621, DEC-831351",,2023-01-26,Entregado a Tecnico
DESP-000299,ORD-000370,Carmen Vasquez Sanchez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,DEC-353063,,2023-01-26,Entregado a Tecnico
DESP-000300,ORD-000371,Sofia Castro Lopez,Puerto Eten,Cuadrilla Ferreñafe - C-05,DEC-985517,REP-724478,2023-01-26,Entregado a Tecnico
DESP-000301,ORD-000372,Elena Rojas Diaz,Santa Rosa,Cuadrilla La Victoria / JLO - C-02,DEC-599387,,2023-01-25,Entregado a Tecnico
DESP-000302,ORD-000373,Pedro Romero Rodriguez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-235670,REP-838747,2023-01-26,Entregado a Tecnico
DESP-000303,ORD-000374,Fiorella Lopez Sanchez,Jayanca,Cuadrilla Pimentel / Costa - C-03,DEC-417991,,2023-01-26,Entregado a Tecnico
DESP-000304,ORD-000375,Sofia Mendoza Gomez,Monsefú,Cuadrilla Pimentel / Costa - C-03,DEC-919304,,2023-01-26,Entregado a Tecnico
DESP-000305,ORD-000376,Rosa Mendoza Garcia,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-803011,REP-564620,2023-01-26,Entregado a Tecnico
DESP-000306,ORD-000379,Manuel Castro Martinez,Monsefú,Cuadrilla Chiclayo Centro - C-01,DEC-847949,,2023-01-27,Entregado a Tecnico
DESP-000307,ORD-000381,Ana Vargas Romero,Pátapo,Cuadrilla Lambayeque Norte - C-04,"DEC-567646, DEC-187984, DEC-987386",REP-766683,2023-01-26,Entregado a Tecnico
DESP-000308,ORD-000382,Fiorella Sanchez Garcia,Olmos,Cuadrilla Lambayeque Norte - C-04,DEC-386578,REP-726909,2023-01-26,Entregado a Tecnico
DESP-000309,ORD-000383,Diego Vasquez Rojas,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-941017,REP-433765,2023-01-26,Entregado a Tecnico
DESP-000310,ORD-000384,Manuel Flores Romero,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,DEC-899502,,2023-01-27,Entregado a Tecnico
DESP-000311,ORD-000386,Carlos Torres Gomez,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-216335, DEC-390819, DEC-696746",,2023-01-26,Entregado a Tecnico
DESP-000312,ORD-000387,Fiorella Mendoza Martinez,Pomalca,Cuadrilla Chiclayo Centro - C-01,"DEC-826648, DEC-810656",,2023-01-26,Entregado a Tecnico
DESP-000313,ORD-000389,Ana Flores Castro,Reque,Cuadrilla Chiclayo Centro - C-01,"DEC-756403, DEC-755669, DEC-201424",REP-129226,2023-01-26,Entregado a Tecnico
DESP-000314,ORD-000390,Jose Gomez Vargas,Reque,Cuadrilla Ferreñafe - C-05,"DEC-230889, DEC-189689, DEC-163634",REP-134963,2023-01-27,Entregado a Tecnico
DESP-000315,ORD-000391,Rosa Vargas Rodriguez,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-925727,,2023-01-27,Entregado a Tecnico
DESP-000316,ORD-000392,Fernando Gomez Romero,Mochumí,Cuadrilla La Victoria / JLO - C-02,DEC-701056,,2023-01-27,Entregado a Tecnico
DESP-000317,ORD-000393,Jorge Flores Rojas,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-732636,REP-459557,2023-01-27,Entregado a Tecnico
